datetime,open,high,low,close,volume
2022-01-01,130.53,132.56,130.29,132.34,3611831
2022-01-02,132.8,133.47,129.58,131.24,6802735
2022-01-03,132.33,132.49,130.99,131.55,3353652
2022-01-04,129.19,130.88,127.56,129.62,5579550
2022-01-05,132.6,135.92,131.65,134.1,1824177
2022-01-06,137.77,140.15,135.59,137.01,7649470
2022-01-07,133.34,136.33,131.62,134.26,3059251
2022-01-08,135.3,136.88,132.69,132.87,1232946
2022-01-09,136.8,138.42,136.7,138.16,6056186
2022-01-10,143.05,145.16,138.92,140.87,4741604
2022-01-11,143.03,146.39,141.47,144.33,9946932
2022-01-12,147.1,147.13,144.46,146.45,4918246
2022-01-13,152.68,153.19,149.47,150.0,9787436
2022-01-14,148.16,150.81,145.77,149.86,4105908
2022-01-15,152.23,152.8,151.84,152.36,5302419
2022-01-16,154.84,157.53,153.01,153.24,8520494
2022-01-17,149.27,150.74,146.81,149.71,5631832
2022-01-18,143.82,148.01,143.63,147.36,2681871
2022-01-19,149.52,151.77,148.44,151.09,6518789
2022-01-20,144.66,147.68,141.46,143.15,1728627
2022-01-21,141.99,145.66,138.05,141.94,3303250
2022-01-22,141.3,144.64,137.78,143.54,3521509
2022-01-23,136.04,136.17,133.5,134.27,1162259
2022-01-24,131.76,131.77,129.58,130.74,1079540
2022-01-25,130.52,133.67,129.23,130.95,2627458
2022-01-26,139.11,141.52,138.73,141.34,1044269
2022-01-27,143.97,145.22,140.95,143.43,5011516
2022-01-28,137.35,138.62,135.15,135.72,1218732
2022-01-29,141.05,141.1,139.6,140.66,6803357
2022-01-30,138.61,140.61,136.12,136.58,2153981
2022-01-31,140.82,141.11,140.33,140.75,1885664
2022-02-01,141.73,144.56,140.69,142.1,4379313
2022-02-02,142.87,144.39,139.84,140.9,9325460
2022-02-03,137.54,140.69,135.6,140.17,3218317
2022-02-04,140.78,141.95,137.61,141.09,7610828
2022-02-05,142.37,143.65,139.82,141.59,1801385
2022-02-06,137.19,137.94,134.99,137.6,1213320
2022-02-07,138.13,141.89,134.32,140.13,4289311
2022-02-08,141.8,145.3,139.76,141.41,9801628
2022-02-09,142.77,144.68,141.98,143.32,7896000
2022-02-10,142.8,144.78,139.59,139.79,5296498
2022-02-11,136.64,137.41,132.57,133.83,2696757
2022-02-12,135.4,139.42,135.36,137.75,3058405
2022-02-13,136.98,140.8,136.73,139.5,7454363
2022-02-14,138.76,141.25,136.72,138.19,4581627
2022-02-15,133.17,134.29,129.41,129.52,6200582
2022-02-16,125.81,126.29,124.71,126.28,8958001
2022-02-17,125.11,128.75,123.32,125.32,7041978
2022-02-18,122.44,124.06,119.17,120.59,8006759
2022-02-19,117.11,120.25,113.77,117.81,6079761
2022-02-20,114.88,115.33,113.06,114.32,5828842
2022-02-21,116.55,119.78,113.29,116.87,9095169
2022-02-22,114.71,115.04,113.51,114.15,9736505
2022-02-23,117.08,118.11,113.79,114.49,8086855
2022-02-24,114.59,116.22,114.44,115.64,6335672
2022-02-25,116.1,118.63,114.58,114.99,1353285
2022-02-26,117.38,119.27,115.57,116.61,7853647
2022-02-27,118.11,119.33,117.46,118.31,1800987
2022-02-28,118.64,121.36,117.23,118.18,6460879
2022-03-01,122.14,124.41,121.84,124.32,9036816
2022-03-02,123.31,123.49,120.13,120.69,2997026
2022-03-03,122.21,125.06,120.42,121.28,1535927
2022-03-04,119.95,120.94,117.45,119.86,1628073
2022-03-05,121.59,122.9,118.36,122.27,7324446
2022-03-06,119.09,120.25,116.03,120.21,7454054
2022-03-07,118.95,119.94,116.76,118.9,8159640
2022-03-08,117.72,119.36,116.85,117.52,5501104
2022-03-09,112.99,113.72,110.53,110.83,7134526
2022-03-10,111.36,113.27,108.66,112.16,9590500
2022-03-11,114.93,116.58,114.61,116.43,5572878
2022-03-12,117.79,121.08,115.44,116.9,7697209
2022-03-13,117.7,118.71,116.11,117.88,9623786
2022-03-14,118.73,119.53,118.57,119.13,9404116
2022-03-15,122.39,123.07,120.17,122.96,8933331
2022-03-16,126.02,129.2,123.07,123.84,1277760
2022-03-17,126.5,127.39,124.03,124.51,2407622
2022-03-18,129.42,131.24,126.07,130.85,4939700
2022-03-19,133.26,133.47,129.78,132.76,3873388
2022-03-20,137.16,140.56,136.28,137.56,8191851
2022-03-21,142.14,145.2,141.4,144.49,1545061
2022-03-22,144.4,147.11,141.38,141.43,8814895
2022-03-23,142.35,142.66,139.38,141.4,8598709
2022-03-24,142.17,144.73,138.83,144.31,3099592
2022-03-25,144.2,146.87,143.7,145.3,9088798
2022-03-26,141.73,143.73,139.49,140.47,3491110
2022-03-27,144.94,145.65,143.71,144.94,8605956
2022-03-28,148.83,152.21,146.27,148.21,6423321
2022-03-29,144.18,145.7,143.94,145.67,9890866
2022-03-30,149.4,151.44,146.86,149.48,8470154
2022-03-31,149.84,152.01,147.99,149.16,7899986
2022-04-01,147.75,148.41,144.05,147.07,1625556
2022-04-02,146.64,149.24,143.74,147.35,3069871
2022-04-03,145.27,146.94,142.09,145.36,1526629
2022-04-04,147.64,148.17,145.44,147.44,1785880
2022-04-05,152.6,153.99,150.02,152.5,9117791
2022-04-06,153.46,153.49,150.18,151.43,1589825
2022-04-07,152.5,156.21,149.29,155.4,9525190
2022-04-08,156.55,158.59,155.52,157.81,8423788
2022-04-09,159.59,163.63,157.65,161.44,1066778
2022-04-10,161.01,164.99,157.56,158.11,3755174
2022-04-11,157.81,159.65,154.72,157.64,6442792
2022-04-12,152.57,156.23,150.31,155.19,3177771
2022-04-13,154.51,156.38,153.0,155.35,2007188
2022-04-14,145.56,146.33,143.79,144.48,7523152
2022-04-15,143.77,145.92,142.53,144.59,1118555
2022-04-16,145.17,145.17,142.58,144.1,4421614
2022-04-17,145.38,146.27,143.31,144.63,5597049
2022-04-18,142.85,146.08,139.63,140.41,4197132
2022-04-19,141.18,141.36,138.88,139.72,9514683
2022-04-20,133.03,134.31,130.39,130.59,5294284
2022-04-21,130.92,133.75,130.77,132.35,6878810
2022-04-22,132.73,135.75,128.89,134.49,1454461
2022-04-23,129.48,130.7,127.07,127.98,4844550
2022-04-24,130.88,132.48,127.14,128.03,8497340
2022-04-25,130.86,131.27,127.0,129.41,1783287
2022-04-26,123.03,125.88,120.78,124.88,5165661
2022-04-27,123.85,124.84,123.85,124.11,9506514
2022-04-28,124.49,125.44,123.34,124.47,1197941
2022-04-29,127.18,130.18,126.66,128.33,6157624
2022-04-30,125.56,126.25,124.28,125.89,1633463
2022-05-01,126.73,128.19,126.03,126.73,3796505
2022-05-02,128.17,130.84,127.14,130.22,4033305
2022-05-03,128.85,130.22,128.02,129.48,1129187
2022-05-04,129.43,132.34,127.76,129.24,7049337
2022-05-05,127.29,128.44,126.21,127.8,4739976
2022-05-06,124.96,125.49,121.32,124.38,7153026
2022-05-07,123.22,125.21,119.53,119.84,2236327
2022-05-08,117.91,120.75,115.04,118.85,9575444
2022-05-09,114.39,114.54,112.38,112.8,5184336
2022-05-10,112.31,115.49,109.06,111.83,7625916
2022-05-11,113.57,116.64,112.05,114.65,3856687
2022-05-12,113.53,114.86,112.15,114.83,9275107
2022-05-13,112.26,114.0,111.77,111.82,8242165
2022-05-14,112.4,113.65,111.16,113.47,9319387
2022-05-15,111.77,112.9,110.99,111.9,9833620
2022-05-16,113.67,114.67,111.89,113.42,9138398
2022-05-17,118.78,119.05,117.84,118.92,2010705
2022-05-18,120.57,123.08,119.36,122.71,6340448
2022-05-19,124.13,127.52,122.07,123.3,8189626
2022-05-20,120.77,121.54,118.93,120.63,9094942
2022-05-21,119.55,120.97,118.24,119.75,6850842
2022-05-22,118.48,121.59,116.5,117.43,7168412
2022-05-23,120.37,121.25,119.6,120.95,2501472
2022-05-24,116.9,118.35,114.87,117.87,1208554
2022-05-25,118.31,119.49,115.18,116.7,9979742
2022-05-26,114.68,117.66,112.69,113.07,6619768
2022-05-27,110.5,111.56,110.32,111.07,3003521
2022-05-28,110.31,110.45,109.5,109.5,9464773
2022-05-29,109.93,110.16,109.74,109.76,7871852
2022-05-30,108.86,109.41,107.81,108.76,5984933
2022-05-31,108.13,110.19,105.03,108.69,1300475
2022-06-01,108.43,109.42,106.34,109.37,8208651
2022-06-02,109.26,111.91,108.51,109.36,5322748
2022-06-03,114.05,115.87,110.64,112.0,4542434
2022-06-04,110.7,113.03,108.57,111.18,5611170
2022-06-05,116.56,116.61,115.42,116.45,1406489
2022-06-06,114.21,116.21,112.11,113.48,2834225
2022-06-07,114.32,116.06,112.69,113.22,4437563
2022-06-08,109.76,111.62,109.01,110.27,1040803
2022-06-09,110.6,112.04,109.45,111.39,6865546
2022-06-10,110.69,113.15,107.41,107.56,2293773
2022-06-11,108.12,108.48,106.34,108.07,5939413
2022-06-12,106.24,109.12,103.51,108.47,1743840
2022-06-13,106.77,108.48,105.87,108.32,8859528
2022-06-14,107.74,109.28,107.13,107.8,6428149
2022-06-15,104.31,104.42,103.13,104.09,5566438
2022-06-16,102.36,102.55,100.66,101.75,4091545
2022-06-17,100.49,102.35,97.85,102.22,4364324
2022-06-18,99.71,99.72,98.69,99.62,7557770
2022-06-19,97.68,99.12,95.94,97.9,3332789
2022-06-20,96.97,97.61,96.36,96.62,6794946
2022-06-21,98.68,98.69,97.85,98.44,4487745
2022-06-22,102.97,104.02,100.11,102.34,9056863
2022-06-23,99.71,99.82,97.77,97.93,1096433
2022-06-24,99.1,100.46,96.91,98.44,9035772
2022-06-25,101.58,103.28,98.81,102.36,2122143
2022-06-26,105.46,106.11,104.58,104.74,3262593
2022-06-27,102.52,102.88,102.23,102.37,5842019
2022-06-28,104.68,106.22,104.31,105.92,2958232
2022-06-29,104.2,105.92,101.74,105.08,8069816
2022-06-30,103.22,103.95,101.11,103.75,1376411
2022-07-01,101.88,103.24,99.13,100.9,7032970
2022-07-02,104.52,107.03,102.66,105.3,1169725
2022-07-03,98.18,99.48,98.02,98.06,1179659
2022-07-04,99.55,99.64,99.29,99.38,2505821
2022-07-05,96.75,96.76,94.73,96.55,1200933
2022-07-06,91.65,93.18,90.81,92.63,8562768
2022-07-07,90.58,91.46,88.78,89.35,3011178
2022-07-08,87.68,89.66,85.4,88.19,5604545
2022-07-09,84.3,84.54,83.88,84.24,3658618
2022-07-10,86.66,87.08,85.66,86.29,3921494
2022-07-11,85.74,86.13,85.64,85.94,4691346
2022-07-12,85.53,87.28,83.95,85.72,5417845
2022-07-13,86.87,87.28,86.53,87.21,7975755
2022-07-14,85.0,85.04,82.56,84.58,5722718
2022-07-15,85.68,87.14,84.62,85.25,6965987
2022-07-16,89.12,90.16,89.05,89.72,2019171
2022-07-17,92.58,94.38,92.22,92.58,5660086
2022-07-18,90.92,92.44,89.16,91.14,8236070
2022-07-19,89.41,91.84,87.84,91.05,7019175
2022-07-20,87.47,89.67,85.25,86.39,7000835
2022-07-21,87.63,87.87,86.34,87.1,7122280
2022-07-22,84.76,86.4,82.9,84.33,9574847
2022-07-23,82.88,83.01,81.0,82.38,7938703
2022-07-24,81.53,83.5,80.96,81.54,4440769
2022-07-25,81.02,83.08,80.4,80.42,9035422
2022-07-26,82.46,83.21,80.56,80.93,4176566
2022-07-27,83.11,84.4,82.39,82.45,8435124
2022-07-28,82.18,82.34,81.68,82.33,3391269
2022-07-29,84.1,85.08,83.72,84.3,2388433
2022-07-30,82.83,84.85,82.07,83.21,7500099
2022-07-31,83.2,84.56,81.68,84.19,4353439
2022-08-01,86.83,88.96,86.09,88.93,1182935
2022-08-02,88.96,89.46,87.67,88.32,7663974
2022-08-03,84.83,86.65,82.53,84.53,2735248
2022-08-04,86.71,89.24,84.5,85.29,3697934
2022-08-05,81.76,83.81,81.2,82.82,2887894
2022-08-06,80.38,81.87,78.36,78.89,1764520
2022-08-07,77.51,78.25,76.73,77.4,1885649
2022-08-08,80.64,82.8,78.37,82.48,4850361
2022-08-09,79.44,81.35,79.14,80.41,6854841
2022-08-10,82.56,84.32,82.3,82.64,8963384
2022-08-11,80.58,81.66,78.59,78.79,5705497
2022-08-12,79.15,79.17,76.9,78.52,6496748
2022-08-13,77.44,78.93,77.2,77.99,8574284
2022-08-14,76.71,78.15,76.56,77.69,2158014
2022-08-15,76.24,78.25,75.41,76.73,4190211
2022-08-16,75.77,77.41,74.77,75.14,1851895
2022-08-17,73.72,74.44,71.69,73.46,9202799
2022-08-18,78.48,80.68,77.97,79.61,4037110
2022-08-19,77.89,79.52,76.35,76.98,3140540
2022-08-20,75.43,77.24,74.38,75.58,9497245
2022-08-21,77.16,78.76,75.27,75.98,7902637
2022-08-22,74.33,75.58,73.69,73.92,6257925
2022-08-23,74.81,75.41,73.82,74.72,9495667
2022-08-24,77.9,79.1,76.46,77.76,6009060
2022-08-25,74.61,74.66,73.6,73.97,7953037
2022-08-26,73.82,75.04,73.41,73.43,9047571
2022-08-27,75.92,77.92,74.67,77.57,5484704
2022-08-28,76.54,77.73,76.38,76.39,8437137
2022-08-29,79.34,79.44,77.26,79.05,8413193
2022-08-30,80.5,80.74,79.83,80.61,1438087
2022-08-31,85.43,87.09,85.23,86.11,5023799
2022-09-01,85.61,85.66,84.08,85.09,9760132
2022-09-02,89.79,91.94,87.3,91.21,7669192
2022-09-03,92.19,94.55,91.88,92.7,4053065
2022-09-04,87.86,89.8,85.85,89.77,3771124
2022-09-05,91.24,92.92,89.55,92.76,1767976
2022-09-06,93.27,94.53,91.24,91.65,6685037
2022-09-07,95.86,98.66,95.73,97.89,3152961
2022-09-08,96.89,98.38,96.34,97.81,2393160
2022-09-09,97.41,98.59,97.32,97.48,7240895
2022-09-10,97.04,99.77,95.89,99.68,8708947
2022-09-11,102.79,104.3,102.43,103.14,7364732
2022-09-12,99.69,100.59,98.03,100.23,3769792
2022-09-13,99.91,100.64,97.4,98.87,6439273
2022-09-14,96.84,98.26,94.06,96.54,9523217
2022-09-15,96.98,99.12,94.07,94.39,7071974
2022-09-16,94.08,94.99,91.29,91.75,6193031
2022-09-17,87.9,89.7,86.16,86.31,9640367
2022-09-18,89.26,90.96,88.47,90.81,1089314
2022-09-19,91.3,93.6,88.74,89.89,7400281
2022-09-20,90.24,92.39,88.78,90.1,4268639
2022-09-21,89.58,90.12,88.39,89.62,7438178
2022-09-22,87.44,87.59,86.21,86.55,1768283
2022-09-23,84.23,84.63,82.4,83.22,4812215
2022-09-24,84.74,87.08,84.48,85.98,9843247
2022-09-25,83.09,83.42,82.01,82.06,8558127
2022-09-26,83.23,84.45,82.47,82.49,3187775
2022-09-27,80.56,81.3,79.67,79.86,8727847
2022-09-28,78.22,79.54,77.66,77.96,2470628
2022-09-29,79.08,80.35,77.64,79.56,2598347
2022-09-30,78.34,79.85,78.27,78.65,5893698
2022-10-01,79.92,80.55,79.85,80.17,9816173
2022-10-02,79.61,79.62,79.25,79.59,9580824
2022-10-03,77.09,77.96,76.46,76.5,4178221
2022-10-04,79.62,80.05,77.77,78.83,4938797
2022-10-05,80.06,82.23,78.27,78.8,7192453
2022-10-06,83.9,85.12,81.46,82.1,3385875
2022-10-07,81.41,82.02,81.29,81.4,6417779
2022-10-08,77.67,79.47,75.41,76.73,8829813
2022-10-09,77.23,78.28,76.9,77.17,4960352
2022-10-10,80.06,82.19,79.44,79.51,7989954
2022-10-11,81.44,82.46,80.14,80.18,5439922
2022-10-12,80.31,81.52,79.88,80.02,1413048
2022-10-13,80.33,82.71,78.45,79.61,4418558
2022-10-14,77.94,79.46,76.19,77.75,4424273
2022-10-15,76.99,77.69,74.86,76.86,4118379
2022-10-16,80.03,81.57,79.08,79.63,4732250
