datetime,open,high,low,close,volume
2022-01-01,97.46,98.65,96.83,97.89,2754696
2022-01-02,97.56,99.08,94.92,98.92,7975355
2022-01-03,98.9,101.09,97.98,98.75,4021087
2022-01-04,100.51,103.3,100.32,101.08,6004849
2022-01-05,102.5,104.44,100.4,101.69,8089385
2022-01-06,101.17,102.66,101.12,101.35,5013153
2022-01-07,104.49,106.79,103.42,104.95,3321340
2022-01-08,106.18,109.34,105.77,107.92,7866132
2022-01-09,109.11,109.91,107.82,108.95,3506578
2022-01-10,106.62,108.01,106.3,106.5,7310609
2022-01-11,107.65,109.97,106.51,107.75,2757695
2022-01-12,109.54,109.66,108.67,109.13,2329541
2022-01-13,109.98,111.46,107.03,107.35,8473483
2022-01-14,109.54,110.47,107.14,107.25,9609335
2022-01-15,106.56,107.2,104.14,104.65,8652322
2022-01-16,102.8,105.22,102.68,103.83,3518816
2022-01-17,102.56,103.34,102.51,102.59,7020480
2022-01-18,103.13,103.68,101.82,102.88,5511040
2022-01-19,101.6,103.48,100.41,102.6,4371264
2022-01-20,102.21,102.68,100.04,102.58,2849239
2022-01-21,103.99,106.24,103.73,104.11,7933020
2022-01-22,104.97,107.5,102.82,104.56,2140754
2022-01-23,104.19,105.74,104.19,105.59,1689765
2022-01-24,104.31,107.28,103.05,106.12,1991963
2022-01-25,105.46,106.73,104.31,105.49,6808684
2022-01-26,105.56,107.89,103.94,104.33,7092305
2022-01-27,105.02,107.57,102.85,107.05,6689339
2022-01-28,106.66,109.24,105.41,107.05,8234088
2022-01-29,109.02,110.95,107.28,110.41,6059537
2022-01-30,110.93,111.53,109.52,110.52,8081605
2022-01-31,112.42,112.71,110.58,112.28,9730513
2022-02-01,114.35,117.73,113.77,113.95,7429012
2022-02-02,115.04,117.12,111.85,114.75,4708372
2022-02-03,113.96,115.9,110.77,111.46,2328532
2022-02-04,110.71,112.28,109.6,111.92,7232735
2022-02-05,113.57,114.51,113.55,114.21,7105754
2022-02-06,115.67,116.37,112.49,115.1,3496415
2022-02-07,117.25,119.59,115.05,119.41,2913562
2022-02-08,115.91,118.33,115.18,117.28,1117642
2022-02-09,116.9,117.58,114.93,115.6,8874390
2022-02-10,112.99,113.91,110.9,112.46,3867820
2022-02-11,116.57,119.45,116.15,118.74,1194613
2022-02-12,117.76,119.46,115.27,118.6,8537334
2022-02-13,115.95,116.37,115.09,115.53,6857096
2022-02-14,117.85,120.66,116.1,116.33,1940635
2022-02-15,113.73,114.06,111.94,113.36,3413800
2022-02-16,113.05,114.63,111.66,113.52,4129094
2022-02-17,117.02,117.7,115.96,116.47,5471402
2022-02-18,117.52,117.67,116.59,117.02,2209845
2022-02-19,114.74,114.9,113.49,113.65,6791416
2022-02-20,110.47,111.72,108.98,110.23,1384249
2022-02-21,111.52,113.33,111.03,112.24,7269765
2022-02-22,117.16,117.86,114.83,116.26,4990112
2022-02-23,116.1,118.83,112.63,115.85,6883815
2022-02-24,117.24,117.98,116.92,116.99,3444494
2022-02-25,118.16,120.43,115.57,119.55,2656100
2022-02-26,115.97,118.83,114.52,117.42,4950760
2022-02-27,118.09,118.79,118.02,118.22,4941479
2022-02-28,116.88,117.17,116.27,116.53,2340928
2022-03-01,121.59,122.64,118.22,122.15,4195111
2022-03-02,122.25,122.81,120.76,121.9,6331064
2022-03-03,122.24,124.29,121.29,123.4,1088795
2022-03-04,122.72,125.34,119.35,123.05,3507767
2022-03-05,120.78,121.32,119.99,120.52,1612266
2022-03-06,122.02,124.09,118.81,123.42,3861417
2022-03-07,123.05,123.62,122.58,123.12,5355217
2022-03-08,121.27,124.53,119.75,120.09,8264543
2022-03-09,120.77,121.0,117.89,120.3,9346124
2022-03-10,117.33,120.14,114.99,117.92,3711713
2022-03-11,121.54,124.16,120.2,122.78,4516588
2022-03-12,128.79,131.39,128.55,128.95,5861774
2022-03-13,126.58,127.73,124.88,125.48,2560731
2022-03-14,127.06,129.89,123.31,125.51,2430455
2022-03-15,123.99,127.15,123.78,123.8,8056328
2022-03-16,127.23,130.45,123.61,130.09,3704933
2022-03-17,133.02,135.56,132.37,135.33,4272714
2022-03-18,131.78,132.53,129.06,129.17,6814037
2022-03-19,128.81,130.27,125.67,126.39,6183638
2022-03-20,128.04,130.5,125.14,127.61,1177992
2022-03-21,129.99,133.34,126.52,132.95,4258555
2022-03-22,132.6,133.14,129.43,129.92,7219462
2022-03-23,129.76,132.1,128.97,129.98,8156436
2022-03-24,129.12,130.03,126.02,126.16,9728494
2022-03-25,125.89,127.26,125.85,126.68,8302505
2022-03-26,128.28,130.66,126.02,129.11,3698882
2022-03-27,136.34,136.77,134.35,136.34,8369084
2022-03-28,139.66,142.93,137.6,141.95,8662291
2022-03-29,136.87,139.04,132.96,136.88,5730880
2022-03-30,137.65,141.74,133.61,139.0,1079887
2022-03-31,136.78,138.61,134.32,136.71,1313055
2022-04-01,136.9,137.96,133.46,136.54,5141241
2022-04-02,143.49,145.69,141.37,141.44,1908539
2022-04-03,141.43,142.22,137.51,139.74,1286199
2022-04-04,141.03,143.07,137.14,141.63,3864513
2022-04-05,142.4,145.16,140.74,142.63,7122594
2022-04-06,144.55,145.26,141.04,144.78,8243769
2022-04-07,151.09,152.75,147.67,148.64,7551773
2022-04-08,150.0,151.3,145.96,150.94,7979446
2022-04-09,153.2,156.31,151.04,156.01,9637377
2022-04-10,156.28,158.91,154.65,155.77,4664583
2022-04-11,155.32,159.73,153.69,158.27,5692388
2022-04-12,163.58,164.48,160.15,160.28,2197168
2022-04-13,155.58,156.83,154.49,156.49,2010320
2022-04-14,157.3,159.39,156.46,159.18,6915010
2022-04-15,158.02,162.16,153.32,157.01,8171229
2022-04-16,157.16,160.67,153.27,157.41,1979249
2022-04-17,161.84,165.94,161.09,163.52,5628661
2022-04-18,157.35,159.92,153.54,154.91,6737246
2022-04-19,144.7,149.02,141.38,144.49,9937949
2022-04-20,143.7,147.62,142.68,144.66,8437673
2022-04-21,142.28,145.21,142.26,144.85,2415670
2022-04-22,150.83,152.03,147.57,150.81,5308162
2022-04-23,157.22,157.87,153.3,155.83,5505710
2022-04-24,157.45,159.37,154.95,155.75,2331312
2022-04-25,157.02,158.53,153.58,157.56,5290848
2022-04-26,160.81,161.45,160.19,160.91,2588406
2022-04-27,158.29,159.91,156.7,157.71,1713751
2022-04-28,170.73,173.71,169.48,172.18,5444381
2022-04-29,181.22,186.13,179.94,180.18,7179623
2022-04-30,176.49,176.58,171.76,173.36,1714274
2022-05-01,178.12,180.11,174.38,178.29,6248790
2022-05-02,177.72,181.7,176.11,177.81,2980076
2022-05-03,186.28,187.88,185.61,187.25,7313022
