datetime,open,high,low,close,volume
2022-01-01,127.75,130.61,125.4,126.01,6423300
2022-01-02,124.85,128.56,121.89,124.17,1384676
2022-01-03,125.44,129.0,125.08,126.44,9855108
2022-01-04,124.61,124.82,123.87,123.87,9591370
2022-01-05,123.53,126.04,120.81,124.49,8634286
2022-01-06,129.85,132.28,127.67,130.78,9762980
2022-01-07,130.98,133.24,129.83,131.1,5722524
2022-01-08,128.41,132.06,125.11,129.77,3281340
2022-01-09,131.13,133.15,129.88,130.4,5604337
2022-01-10,126.75,129.36,125.97,126.78,2558544
2022-01-11,124.07,127.76,122.87,126.82,5253496
2022-01-12,127.24,128.09,126.01,126.13,1093253
2022-01-13,122.89,124.94,119.73,120.42,6570160
2022-01-14,118.42,118.65,118.41,118.63,8751520
2022-01-15,117.78,120.98,114.4,120.75,2089343
2022-01-16,119.95,120.53,117.32,117.61,9552942
2022-01-17,119.47,122.97,119.33,121.79,7607623
2022-01-18,126.2,126.52,124.1,125.05,8825160
2022-01-19,123.72,126.11,121.19,123.42,8555148
2022-01-20,119.26,122.07,117.59,117.82,4808971
2022-01-21,118.75,119.8,115.33,118.47,3368928
2022-01-22,116.69,116.91,113.23,114.3,3985836
2022-01-23,116.93,117.65,113.58,116.21,2212160
2022-01-24,116.93,119.33,116.72,118.34,8071102
2022-01-25,115.61,116.88,112.16,113.69,7232479
2022-01-26,114.86,117.16,114.49,115.38,9935191
2022-01-27,115.25,116.2,114.22,116.14,1638873
2022-01-28,115.56,117.14,114.58,115.0,1911848
2022-01-29,118.6,122.1,115.13,118.38,3017837
2022-01-30,115.16,115.25,112.19,114.47,5062903
2022-01-31,114.7,116.83,112.1,113.2,7426677
2022-02-01,108.26,110.23,108.03,108.61,5662652
2022-02-02,109.28,111.17,107.97,107.98,6061323
2022-02-03,108.19,109.56,107.13,108.95,8104345
2022-02-04,107.23,108.2,105.84,106.33,2321897
2022-02-05,105.2,106.14,105.16,105.39,4566436
2022-02-06,104.74,105.82,103.33,104.25,8518945
2022-02-07,99.76,100.04,97.0,98.59,1332238
2022-02-08,97.7,99.97,96.6,99.23,4928370
2022-02-09,100.13,102.46,99.19,101.45,9638883
2022-02-10,100.47,100.64,98.12,100.0,5194147
2022-02-11,97.86,97.89,97.77,97.8,8199224
2022-02-12,97.58,100.34,97.47,99.14,9621957
2022-02-13,101.08,101.81,100.13,101.74,4039641
2022-02-14,100.38,101.52,97.56,98.39,1552512
2022-02-15,101.87,104.46,99.88,104.16,9473553
2022-02-16,99.27,101.71,96.71,98.42,4420293
2022-02-17,99.27,101.64,98.91,100.45,4870366
2022-02-18,101.79,103.35,101.28,101.84,5197617
2022-02-19,98.46,100.0,95.67,96.87,9116195
2022-02-20,100.88,103.83,99.04,101.69,9848120
2022-02-21,102.63,104.93,101.15,102.36,6131142
2022-02-22,102.87,105.85,101.7,103.56,9844860
2022-02-23,104.63,104.81,102.5,104.8,6340236
2022-02-24,104.68,107.37,101.78,106.18,3464258
2022-02-25,105.0,107.19,102.21,104.66,2207234
2022-02-26,101.06,102.43,99.39,100.59,5930969
2022-02-27,98.94,101.29,96.76,96.94,4328442
2022-02-28,96.2,96.4,95.05,95.94,2191180
2022-03-01,98.12,98.28,97.54,97.99,3231431
2022-03-02,97.11,97.98,96.96,97.38,3031110
2022-03-03,97.96,98.08,96.67,98.06,7068547
2022-03-04,96.44,98.49,94.58,95.86,4801094
2022-03-05,97.76,99.85,96.88,99.46,3305175
2022-03-06,99.36,99.74,96.38,99.44,2634497
2022-03-07,97.93,100.01,95.49,99.58,4817920
2022-03-08,98.51,98.8,97.84,98.09,4846200
2022-03-09,100.28,101.4,99.27,101.27,3508582
2022-03-10,101.96,104.44,100.22,104.22,8333645
