datetime,open,high,low,close,volume
2023-01-01,102.38,103.62,101.65,102.62,8720
2023-01-02,103.93,104.37,102.81,103.7,7522
2023-01-03,104.66,105.84,104.98,105.1,7090
2023-01-04,107.13,107.51,106.48,106.75,5680
2023-01-05,108.04,109.45,108.17,108.44,5187
2023-01-06,111.0,110.99,110.58,110.79,6589
2023-01-07,112.74,113.03,112.63,112.75,5882
2023-01-08,115.78,115.77,115.15,115.43,1413
2023-01-09,117.84,118.19,117.0,117.32,6620
2023-01-10,119.81,120.53,119.09,119.59,8597
2023-01-11,123.2,123.73,122.68,123.18,2778
2023-01-12,126.63,127.03,125.25,126.25,5224
2023-01-13,128.46,129.21,128.31,128.65,1930
2023-01-14,132.0,132.8,131.21,132.42,3593
2023-01-15,135.22,136.2,134.75,135.09,4147
2023-01-16,138.03,139.26,137.87,138.58,9572
2023-01-17,141.86,142.48,141.6,142.01,3081
2023-01-18,144.24,144.52,143.13,143.56,2568
2023-01-19,146.96,147.08,145.71,146.66,9343
2023-01-20,151.18,151.52,149.82,150.7,2612
2023-01-21,153.25,153.11,152.27,152.52,2909
2023-01-22,157.5,157.53,156.76,157.03,3631
2023-01-23,159.61,160.61,159.15,159.35,7097
2023-01-24,161.9,163.69,161.59,162.55,9501
2023-01-25,166.13,166.91,165.36,166.06,2547
2023-01-26,169.78,171.45,169.17,170.01,8065
2023-01-27,174.3,176.03,173.17,174.82,5191
2023-01-28,179.97,180.81,178.49,179.58,3949
2023-01-29,184.04,185.67,182.85,184.43,5170
2023-01-30,187.06,188.93,185.42,187.17,7443
2023-01-31,182.83,183.24,181.66,182.36,3816
2023-01-32,178.47,179.69,177.24,178.24,4673
2023-01-33,175.24,174.98,174.06,174.8,4723
2023-01-34,170.87,171.77,170.42,170.69,1505
2023-01-35,165.75,166.39,164.72,166.08,7051
2023-01-36,164.32,165.9,163.21,164.38,2901
2023-01-37,159.59,161.01,159.95,160.37,5072
2023-01-38,155.6,157.64,154.89,156.35,8157
2023-01-39,152.22,153.18,151.34,152.29,2717
2023-01-40,148.73,148.59,147.68,148.16,8673
2023-01-41,146.06,147.57,145.57,146.66,7866
2023-01-42,143.99,145.0,142.9,143.86,1297
2023-01-43,141.9,143.1,141.47,141.93,8574
2023-01-44,139.76,140.09,137.94,139.21,4027
2023-01-45,136.85,138.38,136.98,137.19,6918
2023-01-46,135.41,135.58,133.98,134.92,3026
2023-01-47,132.28,132.81,131.0,131.95,1961
2023-01-48,129.58,130.51,129.13,129.64,4475
2023-01-49,125.59,126.14,125.19,125.87,1113
2023-01-50,122.29,122.57,121.55,122.16,4949
2023-01-51,119.26,120.34,118.59,119.43,4475
2023-01-52,117.71,118.98,117.38,118.04,8954
2023-01-53,115.95,116.06,115.38,115.81,8149
2023-01-54,113.91,115.29,114.04,114.43,7532
2023-01-55,111.13,112.63,110.89,111.59,5589
2023-01-56,110.42,110.68,109.69,109.94,9035
2023-01-57,107.95,108.32,107.13,107.92,6282
2023-01-58,104.79,105.34,104.27,105.03,6198
2023-01-59,102.56,103.49,101.99,102.76,6103
2023-01-60,101.73,102.43,100.72,101.59,2243
2023-01-61,102.38,103.0,101.96,102.11,1560
2023-01-62,103.2,103.23,102.56,102.84,9905
2023-01-63,104.33,105.7,103.79,104.81,5902
2023-01-64,106.19,106.81,105.93,106.57,4834
2023-01-65,108.11,108.42,107.34,108.04,5089
2023-01-66,109.54,110.14,108.84,109.66,2293
2023-01-67,110.36,111.33,109.91,110.54,3555
2023-01-68,111.37,112.21,110.95,111.81,4997
2023-01-69,112.57,113.48,111.99,112.5,1445
2023-01-70,113.68,113.91,113.29,113.48,6719
2023-01-71,114.32,115.52,114.19,114.42,3043
2023-01-72,115.93,116.82,115.87,116.44,5842
2023-01-73,116.78,117.54,116.2,117.24,9024
2023-01-74,118.08,118.12,117.82,117.98,8351
2023-01-75,118.98,120.57,119.22,119.48,2443
2023-01-76,121.43,121.6,120.52,121.33,2167
2023-01-77,122.32,122.82,122.25,122.46,5078
2023-01-78,123.17,123.79,122.42,123.49,9442
2023-01-79,125.18,125.83,124.44,125.49,9991
2023-01-80,128.43,128.27,127.2,127.8,8779
2023-01-81,130.4,130.03,129.27,129.77,9647
2023-01-82,132.56,133.35,131.03,132.09,5759
2023-01-83,134.9,135.13,133.15,134.29,5462
2023-01-84,134.53,136.33,134.12,135.03,5549
2023-01-85,136.17,136.56,136.2,136.4,4010
2023-01-86,136.74,137.56,136.81,137.13,9657
2023-01-87,138.85,139.81,137.47,138.63,9771
2023-01-88,140.37,141.48,140.15,140.89,5067
2023-01-89,142.85,143.64,142.89,143.15,5587
2023-01-90,146.57,147.02,145.11,145.93,9350
2023-01-91,148.86,149.86,147.48,148.61,7141
2023-01-92,150.41,150.43,149.15,150.19,5039
2023-01-93,152.59,152.69,151.53,152.45,7809
2023-01-94,154.02,154.21,153.34,153.98,4198
2023-01-95,154.39,156.3,153.52,154.83,8138
2023-01-96,155.5,157.43,155.39,155.93,4458
2023-01-97,158.01,158.29,157.72,157.88,2314
2023-01-98,159.62,160.82,158.34,159.73,5694
2023-01-99,161.7,162.18,159.68,161.14,7657
2023-01-100,163.57,164.95,162.22,163.71,2734
