datetime,open,high,low,close,volume
2022-01-01,110.06,110.82,108.82,109.39,2053087
2022-01-02,111.58,113.4,109.58,109.79,9250180
2022-01-03,111.07,113.14,111.05,112.27,8623645
2022-01-04,105.75,108.52,104.64,106.72,9798443
2022-01-05,107.28,110.02,104.94,105.8,6970816
2022-01-06,107.37,107.96,104.7,105.32,8518458
2022-01-07,103.94,104.13,103.67,104.04,7508153
2022-01-08,108.19,108.58,105.45,107.88,9656837
2022-01-09,105.61,108.45,102.97,105.98,6181309
2022-01-10,101.51,104.3,101.07,101.69,5175764
2022-01-11,100.96,102.16,100.3,101.53,9718724
2022-01-12,95.37,97.28,92.86,93.48,1967147
2022-01-13,94.68,96.91,93.38,96.28,3045092
2022-01-14,97.07,98.65,97.04,97.76,8325732
2022-01-15,99.21,100.67,98.53,100.06,3802652
2022-01-16,98.49,100.91,98.04,100.76,4455874
2022-01-17,93.69,94.89,91.52,93.48,8095177
2022-01-18,95.42,96.96,94.97,95.45,6031271
2022-01-19,95.76,96.59,93.6,96.28,7583974
2022-01-20,95.26,97.86,95.15,97.03,3009074
2022-01-21,93.59,95.91,91.75,94.8,8021069
2022-01-22,96.08,97.99,94.48,97.96,2496912
2022-01-23,95.44,95.77,94.66,95.5,8332030
2022-01-24,97.04,97.43,96.38,96.51,6700252
2022-01-25,96.98,97.64,95.42,95.92,1720156
2022-01-26,95.84,98.2,95.18,95.6,3149616
2022-01-27,97.05,98.14,95.14,96.91,3105264
2022-01-28,94.57,95.06,93.6,94.35,6149191
2022-01-29,90.41,92.42,90.3,90.84,7098088
2022-01-30,88.95,89.8,86.36,86.65,2584364
2022-01-31,88.98,90.19,87.02,87.9,1107859
2022-02-01,89.83,91.66,88.41,90.47,4599113
2022-02-02,89.68,92.11,88.82,90.73,6675322
2022-02-03,87.21,87.69,85.88,86.36,7604901
2022-02-04,86.37,86.54,85.37,85.55,3486599
2022-02-05,89.32,90.44,87.29,87.76,7875309
2022-02-06,87.91,88.27,87.2,88.26,3841890
2022-02-07,87.45,89.52,87.26,88.06,6420492
2022-02-08,85.18,85.6,84.64,85.17,4569585
2022-02-09,87.1,88.56,85.85,87.88,4856602
2022-02-10,84.56,85.72,83.84,84.44,1901833
2022-02-11,85.66,87.73,85.25,85.44,8690062
2022-02-12,86.85,88.31,86.55,86.79,3842204
2022-02-13,87.91,88.48,87.13,88.47,4200050
2022-02-14,84.64,86.8,84.23,86.14,5150731
2022-02-15,87.29,87.95,85.31,85.58,8238299
2022-02-16,88.2,88.41,87.33,88.13,1639057
2022-02-17,88.58,89.63,87.85,89.13,8086177
2022-02-18,88.22,89.34,87.25,88.04,9833956
2022-02-19,85.28,86.79,83.07,83.12,4998581
2022-02-20,85.84,87.77,84.49,85.5,6095453
2022-02-21,85.3,87.43,83.49,86.61,9242224
2022-02-22,86.2,88.7,85.51,85.78,6799295
2022-02-23,84.31,84.66,83.16,83.6,7648552
2022-02-24,87.1,89.29,84.91,87.76,2983529
2022-02-25,86.38,87.51,85.78,86.41,6246698
2022-02-26,88.1,90.2,87.43,90.11,3226567
