datetime,open,high,low,close,volume
2022-01-01,63.02,63.26,61.24,63.25,3971713
2022-01-02,64.12,65.88,63.02,64.66,3152456
2022-01-03,66.77,68.45,66.23,67.63,9221077
2022-01-04,65.55,67.27,65.33,65.9,5915152
2022-01-05,64.95,66.47,64.23,65.81,8832373
2022-01-06,65.6,67.28,64.09,65.69,1030903
2022-01-07,66.56,66.74,66.22,66.47,4041176
2022-01-08,67.34,69.16,66.4,68.75,8604048
2022-01-09,71.29,72.13,71.18,71.25,2787974
2022-01-10,72.78,74.69,70.82,71.32,7160289
2022-01-11,70.1,70.74,68.82,70.63,5641476
2022-01-12,67.13,68.58,66.96,67.37,7666831
2022-01-13,67.59,67.74,66.01,67.71,1243234
2022-01-14,65.95,66.53,64.14,64.97,9430236
2022-01-15,64.1,65.53,62.55,64.46,8813114
2022-01-16,65.55,65.71,64.5,65.16,7375582
2022-01-17,61.62,63.19,60.28,60.94,3990022
2022-01-18,61.55,61.61,59.98,60.73,6297426
2022-01-19,61.83,63.3,61.49,62.24,1059181
2022-01-20,63.86,64.17,63.51,64.04,6408801
2022-01-21,64.47,66.22,62.89,65.19,5045735
2022-01-22,64.27,64.44,63.74,64.04,7523719
2022-01-23,63.69,64.38,63.37,64.37,2910886
2022-01-24,62.6,63.77,61.2,62.8,9212895
2022-01-25,63.14,63.36,61.25,61.31,2731803
2022-01-26,61.63,61.9,60.71,61.69,7203931
2022-01-27,61.83,62.24,60.54,61.01,1689998
2022-01-28,61.45,62.16,60.71,61.13,8363619
2022-01-29,60.26,61.82,59.88,61.01,1283054
2022-01-30,62.58,64.13,60.94,63.96,1983977
2022-01-31,62.97,64.7,62.04,62.13,2392172
2022-02-01,61.1,61.52,60.19,61.21,2195296
2022-02-02,61.0,62.15,60.35,61.75,1877958
2022-02-03,63.25,63.91,62.6,63.16,7138810
2022-02-04,63.6,64.23,62.0,62.71,1988223
2022-02-05,62.15,63.91,61.71,62.83,4679708
2022-02-06,62.17,62.29,61.46,61.63,1102339
2022-02-07,60.79,60.86,59.94,60.8,6887510
2022-02-08,60.79,60.85,60.41,60.52,1694933
2022-02-09,62.35,64.14,60.75,62.12,8148768
2022-02-10,63.02,64.58,62.14,62.5,4539916
2022-02-11,63.13,63.77,61.66,62.79,8197033
2022-02-12,63.16,64.38,62.65,63.2,6218598
2022-02-13,62.52,62.8,62.04,62.72,7144483
2022-02-14,61.1,62.02,60.51,61.27,3950720
2022-02-15,60.11,60.97,59.42,59.58,4954566
2022-02-16,58.75,59.39,57.99,58.82,1479101
2022-02-17,59.13,60.87,58.1,59.23,5858490
2022-02-18,59.01,59.74,58.01,58.87,6694336
2022-02-19,57.2,58.01,56.84,57.87,3126246
2022-02-20,55.6,56.96,54.39,55.8,8410001
2022-02-21,55.24,55.32,54.06,54.8,5284375
2022-02-22,55.81,56.21,54.41,55.9,7430802
2022-02-23,55.75,56.37,55.4,56.09,6801125
2022-02-24,56.01,56.05,55.13,55.33,4110275
2022-02-25,54.23,55.07,53.28,54.99,5332949
2022-02-26,55.76,57.06,54.74,56.9,6946460
2022-02-27,55.95,56.2,55.52,55.84,8683898
2022-02-28,54.19,54.91,53.41,54.73,5947327
2022-03-01,54.61,54.94,53.26,53.33,3268225
2022-03-02,53.17,53.93,53.07,53.38,2606856
2022-03-03,53.62,53.71,52.98,53.08,8877822
2022-03-04,52.77,53.19,51.57,52.13,3008329
2022-03-05,51.9,52.55,51.79,52.4,2286430
2022-03-06,51.66,52.6,50.82,52.4,7422658
2022-03-07,51.74,52.8,50.87,51.97,6004459
2022-03-08,51.22,52.46,50.3,50.98,3940252
2022-03-09,51.24,51.65,50.43,51.5,5923558
2022-03-10,52.04,52.55,51.4,51.53,9749849
2022-03-11,52.22,52.81,50.98,51.86,5399488
2022-03-12,54.9,55.34,53.98,54.06,5869209
2022-03-13,53.56,53.59,52.65,53.12,4048877
2022-03-14,51.86,53.36,50.38,53.34,9965752
2022-03-15,51.57,52.04,51.49,51.76,4351037
2022-03-16,52.46,52.88,51.18,51.62,7307322
2022-03-17,51.04,51.79,49.8,50.96,9625924
2022-03-18,51.8,52.79,51.72,51.75,1943512
2022-03-19,50.96,51.23,50.44,51.06,2712216
2022-03-20,49.72,50.89,48.24,50.69,6597847
2022-03-21,50.16,51.35,49.76,51.22,2166420
2022-03-22,51.83,51.93,50.6,51.12,6272535
2022-03-23,52.95,53.9,52.16,52.67,6526331
2022-03-24,51.0,51.07,50.16,50.57,5347767
2022-03-25,51.31,52.15,50.56,51.96,8274783
2022-03-26,51.79,52.73,50.6,51.57,7345712
2022-03-27,53.19,54.58,52.01,52.18,4560057
2022-03-28,51.48,52.09,51.42,51.79,5709715
2022-03-29,50.63,50.81,50.16,50.67,1529293
2022-03-30,50.07,50.54,49.79,50.32,7441563
2022-03-31,50.14,50.77,48.8,49.79,6198205
2022-04-01,50.45,51.35,49.02,50.95,1681235
2022-04-02,50.69,51.9,50.65,50.89,5469606
2022-04-03,51.28,52.53,50.4,51.89,2014959
2022-04-04,49.35,50.23,49.22,50.01,3105593
2022-04-05,49.05,49.38,48.6,49.12,7361348
2022-04-06,50.75,51.69,50.57,51.65,5419260
2022-04-07,53.06,53.15,52.1,52.99,1632568
2022-04-08,51.63,51.96,51.16,51.43,9162978
2022-04-09,51.77,52.86,51.62,51.99,4266862
2022-04-10,51.32,52.42,49.96,51.65,6492233
2022-04-11,51.56,52.33,51.46,52.32,8718805
2022-04-12,52.81,52.9,51.87,51.91,3954068
2022-04-13,52.56,53.65,51.09,51.94,9952773
2022-04-14,51.62,53.15,50.09,50.89,5785250
2022-04-15,50.95,52.37,50.76,50.93,6005930
2022-04-16,53.06,53.56,52.71,53.33,9357717
2022-04-17,53.69,54.26,53.0,53.66,1157491
2022-04-18,55.11,56.5,54.33,56.41,5317036
2022-04-19,54.71,54.98,53.75,54.81,6848473
2022-04-20,54.63,55.07,54.4,55.02,6927878
