datetime,open,high,low,close,volume
2022-01-01,74.66,75.51,73.97,74.37,8299336
2022-01-02,74.25,75.59,72.67,73.55,2765264
2022-01-03,72.75,73.18,71.93,72.34,6194975
2022-01-04,72.56,73.98,71.46,73.35,5135408
2022-01-05,74.67,76.42,74.65,74.9,2792287
2022-01-06,78.35,79.82,76.04,77.09,9875015
2022-01-07,76.96,78.05,75.46,76.66,4824615
2022-01-08,73.71,75.62,73.54,73.8,7164360
2022-01-09,73.81,75.15,72.75,73.22,8435994
2022-01-10,73.09,74.37,72.74,72.88,7753687
2022-01-11,71.72,73.09,70.06,72.78,8497444
2022-01-12,73.44,74.77,72.76,74.55,1820016
2022-01-13,73.8,74.46,72.25,72.52,6103702
2022-01-14,68.72,68.89,67.95,68.04,9088772
2022-01-15,67.08,67.61,66.29,67.21,8398623
2022-01-16,66.91,67.33,65.91,66.43,3813264
2022-01-17,64.09,64.6,63.73,63.98,1196093
2022-01-18,63.39,65.24,62.94,65.03,5007113
2022-01-19,63.65,65.37,62.11,63.26,7055663
2022-01-20,63.46,63.74,62.56,63.23,5657258
2022-01-21,64.47,65.23,64.15,64.91,7455626
2022-01-22,64.76,65.64,64.62,65.19,6204209
2022-01-23,65.24,66.25,64.92,65.86,5918378
2022-01-24,66.32,66.76,66.27,66.54,8481244
2022-01-25,68.79,69.41,68.56,68.73,3207473
2022-01-26,67.92,68.35,65.93,66.09,1251011
2022-01-27,66.65,67.38,65.78,66.66,2202129
2022-01-28,67.29,69.21,66.73,67.07,1798442
2022-01-29,68.09,68.95,67.81,68.74,7422408
2022-01-30,70.45,72.4,70.44,70.64,3488762
2022-01-31,70.1,70.72,69.66,70.25,6686334
2022-02-01,68.31,68.77,66.63,67.75,4315211
2022-02-02,68.83,70.54,68.24,69.26,5976555
2022-02-03,70.05,70.92,68.33,70.03,5339148
2022-02-04,67.37,67.6,67.24,67.33,3013376
2022-02-05,64.61,66.45,63.96,66.4,2784902
2022-02-06,67.93,68.94,66.67,68.14,1030537
2022-02-07,70.79,71.15,69.18,69.22,3445314
2022-02-08,67.98,68.79,66.0,68.04,6963905
