datetime,open,high,low,close,volume
2023-01-01,95.85,95.88,94.63,95.57,1288
2023-01-02,96.58,97.06,96.22,96.78,4722
2023-01-03,98.2,98.8,98.02,98.16,7680
2023-01-04,97.71,98.52,97.56,98.09,3076
2023-01-05,97.87,98.35,97.55,98.18,1107
2023-01-06,97.88,98.29,97.61,98.04,1980
2023-01-07,97.78,98.59,97.15,98.02,7037
2023-01-08,99.38,100.19,99.11,99.83,4583
2023-01-09,98.68,99.5,98.8,98.93,5337
2023-01-10,98.78,99.49,99.12,99.24,6490
2023-01-11,99.83,99.71,98.94,99.59,9667
2023-01-12,97.68,98.34,97.03,97.47,8635
2023-01-13,96.55,96.99,96.29,96.59,4175
2023-01-14,95.02,95.97,94.45,95.21,7178
2023-01-15,96.03,96.39,95.56,96.29,1901
2023-01-16,94.76,94.52,93.63,94.37,2064
2023-01-17,92.12,93.06,91.99,92.48,9762
2023-01-18,91.87,92.98,91.73,92.07,4739
2023-01-19,94.12,94.68,93.78,94.3,3907
2023-01-20,91.92,91.92,91.04,91.69,4675
2023-01-21,89.1,90.03,88.75,89.37,9620
2023-01-22,90.64,91.03,90.13,90.75,6145
2023-01-23,93.07,93.22,92.25,93.11,2065
2023-01-24,95.1,95.31,94.0,94.88,7984
2023-01-25,92.86,93.86,92.88,93.28,9386
2023-01-26,90.49,91.08,90.42,90.6,4660
2023-01-27,90.0,91.08,89.58,90.37,6566
2023-01-28,88.56,89.23,88.16,88.7,7655
2023-01-29,89.57,90.78,89.19,89.92,3337
2023-01-30,88.78,89.32,88.55,88.64,1945
2023-01-31,90.5,91.47,90.7,90.89,7819
2023-01-32,90.13,90.5,89.88,90.05,5512
2023-01-33,92.64,92.88,92.27,92.73,9596
2023-01-34,91.48,92.07,90.49,91.36,3928
2023-01-35,92.27,92.63,92.07,92.29,8138
2023-01-36,91.77,91.6,90.7,91.44,1384
2023-01-37,90.18,90.86,90.31,90.56,8505
2023-01-38,92.57,92.71,92.21,92.51,8777
2023-01-39,94.24,95.34,94.31,94.42,4744
2023-01-40,94.13,94.4,93.44,93.92,5977
2023-01-41,95.15,95.18,94.61,94.77,3755
2023-01-42,93.52,93.99,92.97,93.74,9384
2023-01-43,93.88,94.04,93.28,93.55,2421
2023-01-44,94.64,95.43,93.69,94.58,1457
2023-01-45,96.62,96.64,96.0,96.19,8822
2023-01-46,97.62,97.81,97.32,97.54,3725
2023-01-47,96.99,97.68,96.93,97.44,9077
2023-01-48,95.64,96.42,95.0,95.62,3926
2023-01-49,93.46,93.74,93.03,93.28,3963
2023-01-50,91.05,91.61,90.61,91.38,8456
