datetime,open,high,low,close,volume
2023-01-01,99.44,99.22,98.43,99.04,8688
2023-01-02,101.6,101.75,100.91,101.6,8484
2023-01-03,99.33,99.64,98.86,99.49,1059
2023-01-04,101.25,101.58,100.31,101.16,8768
2023-01-05,103.88,104.18,103.49,103.77,6486
2023-01-06,106.11,106.35,105.76,105.9,3209
2023-01-07,107.64,108.46,106.53,107.5,6235
2023-01-08,106.08,107.2,105.44,106.18,5943
2023-01-09,103.34,104.47,103.07,103.49,3014
2023-01-10,102.81,103.36,102.51,102.9,8822
2023-01-11,104.13,105.18,104.31,104.63,2572
2023-01-12,104.02,104.28,103.65,104.16,7106
2023-01-13,102.88,103.06,101.95,102.85,1710
2023-01-14,102.96,103.29,102.88,103.06,6408
2023-01-15,101.6,102.57,100.91,101.93,9128
2023-01-16,104.11,104.02,103.4,103.69,3186
2023-01-17,106.56,106.83,105.57,106.13,6661
2023-01-18,102.83,103.63,103.02,103.16,8272
2023-01-19,101.92,103.18,101.48,102.35,3007
2023-01-20,100.71,102.0,100.9,101.1,1874
2023-01-21,101.59,102.67,101.54,101.88,2981
2023-01-22,100.73,101.28,100.04,100.8,9767
2023-01-23,98.46,98.61,97.39,98.16,3169
2023-01-24,98.83,99.24,97.77,98.7,9492
2023-01-25,98.27,99.37,98.35,98.7,5311
2023-01-26,98.26,98.23,96.99,97.92,6055
2023-01-27,99.82,99.92,99.5,99.67,3634
2023-01-28,101.3,102.12,100.95,101.11,3631
2023-01-29,98.93,100.1,98.59,99.33,5071
2023-01-30,98.39,98.6,97.44,97.95,5807
2023-01-31,97.02,98.24,96.87,97.3,5031
2023-01-32,98.16,98.66,97.69,98.31,9806
2023-01-33,100.68,101.21,100.26,100.85,1454
2023-01-34,101.11,102.11,101.09,101.5,4316
2023-01-35,98.54,99.49,98.24,98.99,6252
2023-01-36,97.74,98.7,97.34,98.21,4546
2023-01-37,98.59,99.64,98.59,98.9,7110
2023-01-38,98.83,99.32,97.9,98.81,6007
2023-01-39,96.72,97.69,96.72,96.96,1400
2023-01-40,94.93,95.36,93.85,94.8,8810
2023-01-41,95.54,95.32,94.91,95.18,8631
2023-01-42,94.04,94.23,93.49,93.68,8566
2023-01-43,93.34,94.02,92.94,93.56,8154
2023-01-44,94.56,95.78,94.56,95.0,7337
2023-01-45,96.96,97.63,96.28,96.95,4477
2023-01-46,99.47,99.25,98.7,99.13,5159
2023-01-47,96.74,97.29,96.58,96.89,4264
2023-01-48,96.68,97.91,96.39,97.04,7295
2023-01-49,97.08,98.16,97.11,97.47,5049
2023-01-50,98.64,99.8,98.24,98.95,5229
