datetime,open,high,low,close,volume
2023-01-01,104.69,105.7,104.37,104.76,6351
2023-01-02,101.4,102.32,101.52,101.74,4422
2023-01-03,102.71,103.25,102.65,102.92,2263
2023-01-04,101.7,102.42,101.33,102.15,9922
2023-01-05,100.25,100.4,100.04,100.19,3890
2023-01-06,98.9,99.11,98.32,98.91,8837
2023-01-07,96.34,96.65,95.54,95.97,6711
2023-01-08,96.85,97.94,96.41,97.2,5766
2023-01-09,96.24,96.94,95.79,96.03,1123
2023-01-10,95.13,95.18,94.16,94.7,7062
2023-01-11,92.38,93.51,92.15,92.73,3436
2023-01-12,95.85,96.08,94.51,95.44,3165
2023-01-13,97.8,98.21,96.95,97.76,9846
2023-01-14,100.86,101.41,99.99,100.58,2638
2023-01-15,102.87,103.57,103.06,103.27,1650
2023-01-16,105.08,106.07,105.23,105.53,2578
2023-01-17,103.04,103.54,102.36,102.89,2446
2023-01-18,105.25,106.29,104.94,105.31,1137
2023-01-19,104.43,105.58,104.56,104.84,2576
2023-01-20,104.04,105.03,103.54,104.55,2183
2023-01-21,106.78,108.08,106.76,107.02,6545
2023-01-22,108.08,107.73,106.59,107.61,2075
2023-01-23,107.24,107.53,106.29,106.87,4211
2023-01-24,104.05,104.99,103.55,104.48,2288
2023-01-25,105.67,105.96,105.16,105.63,4975
2023-01-26,106.18,106.87,105.12,106.17,5568
2023-01-27,106.68,107.36,105.88,106.9,6934
2023-01-28,108.28,109.07,107.89,108.04,3607
2023-01-29,106.79,106.84,106.03,106.47,8103
2023-01-30,106.66,106.95,106.09,106.78,5175
2023-01-31,106.25,106.9,105.9,106.07,4897
2023-01-32,103.65,104.07,103.14,103.92,2742
2023-01-33,103.72,104.24,102.57,103.42,6357
2023-01-34,104.25,104.67,103.6,104.03,7403
2023-01-35,105.84,106.95,105.59,106.19,6008
2023-01-36,108.77,109.41,108.58,109.26,2943
2023-01-37,108.04,108.47,107.08,107.89,4220
2023-01-38,108.3,109.04,107.69,108.58,3296
2023-01-39,107.92,107.93,107.37,107.51,4840
2023-01-40,107.3,106.97,106.58,106.8,5731
2023-01-41,109.74,110.1,109.23,109.6,8962
2023-01-42,109.56,109.88,109.08,109.48,9210
2023-01-43,108.01,108.79,107.02,107.86,6306
2023-01-44,110.32,111.1,110.18,110.46,6564
2023-01-45,110.03,110.41,109.03,109.79,5539
2023-01-46,112.42,112.46,111.0,112.04,5509
2023-01-47,112.03,112.64,111.21,111.8,5564
2023-01-48,112.32,113.49,111.86,112.57,9854
2023-01-49,113.01,114.51,112.64,113.53,4293
2023-01-50,113.27,113.36,112.56,113.19,7528
