datetime,open,high,low,close,volume
2022-01-01,74.3,76.45,72.19,74.06,2407417
2022-01-02,73.19,73.55,72.32,72.69,4182310
2022-01-03,73.67,75.39,71.83,72.66,1637300
2022-01-04,73.35,74.76,72.92,73.68,6343253
2022-01-05,72.11,73.59,70.88,71.75,9369224
2022-01-06,74.44,76.11,74.0,75.5,8309484
2022-01-07,76.14,77.13,76.03,76.36,7399001
2022-01-08,74.51,76.05,73.47,75.15,5079217
2022-01-09,74.26,74.79,74.25,74.47,7721610
2022-01-10,75.32,75.83,73.98,74.68,5122074
2022-01-11,75.5,76.68,73.74,75.6,5903995
2022-01-12,76.58,77.03,76.26,76.68,6807971
2022-01-13,79.72,80.27,79.48,80.27,8491672
2022-01-14,78.29,78.73,76.61,77.14,2787285
2022-01-15,77.83,78.64,76.52,76.73,4959371
2022-01-16,77.11,78.35,74.92,76.88,2359922
2022-01-17,78.02,78.3,76.9,77.98,6954454
2022-01-18,78.6,79.5,77.76,77.85,6910680
2022-01-19,76.6,76.61,74.58,75.28,5920599
2022-01-20,75.53,76.26,74.71,75.47,7458056
2022-01-21,75.75,76.89,74.54,76.6,4271549
2022-01-22,74.94,77.12,73.51,76.8,7027753
2022-01-23,73.62,75.68,71.41,73.91,3296230
2022-01-24,74.49,75.63,73.06,75.5,1877209
2022-01-25,72.62,73.18,70.7,72.05,7471344
2022-01-26,72.45,74.27,70.97,74.12,4354630
2022-01-27,71.94,74.02,70.69,72.26,9730847
2022-01-28,71.21,72.76,71.12,72.48,5450495
2022-01-29,72.75,73.37,71.85,73.28,3403503
2022-01-30,72.01,74.16,70.26,70.63,8187224
2022-01-31,70.66,71.21,70.63,70.89,3960070
2022-02-01,72.26,72.99,71.36,72.11,5894686
2022-02-02,70.88,72.41,70.82,71.19,9043626
2022-02-03,71.32,71.75,70.9,70.98,3315261
2022-02-04,69.47,70.43,67.78,69.18,9470897
2022-02-05,70.25,71.56,68.2,71.36,6826929
2022-02-06,69.07,69.63,68.92,69.19,4990669
2022-02-07,68.21,68.56,67.36,67.98,4474037
2022-02-08,68.69,70.08,68.25,69.61,5536081
2022-02-09,72.27,73.84,71.62,71.8,7007866
2022-02-10,72.28,72.49,70.97,71.61,9033607
2022-02-11,71.06,71.44,69.83,71.26,2091475
2022-02-12,72.27,72.53,70.15,70.17,4172914
2022-02-13,72.92,73.96,72.42,73.76,6478151
2022-02-14,74.27,74.36,73.38,73.43,5894557
2022-02-15,77.0,78.84,75.87,75.96,8952604
2022-02-16,76.64,78.35,75.51,77.09,5060749
2022-02-17,75.77,77.04,74.29,74.55,7470923
2022-02-18,73.98,74.48,73.23,73.43,9340508
2022-02-19,71.52,72.58,70.94,72.35,3595099
2022-02-20,72.53,74.59,70.66,71.59,7160078
2022-02-21,73.77,74.91,73.76,74.57,9864112
2022-02-22,71.61,72.64,71.43,72.03,9400221
2022-02-23,74.25,76.39,72.97,76.27,1650218
2022-02-24,73.38,74.03,73.16,73.56,6470731
2022-02-25,73.75,74.7,73.69,73.75,2020516
2022-02-26,72.64,73.61,71.45,73.1,7442853
2022-02-27,74.53,76.31,72.32,73.82,6698748
2022-02-28,73.53,75.57,71.36,73.06,3582559
2022-03-01,73.46,74.75,72.62,74.27,8287607
2022-03-02,73.73,75.79,73.51,75.3,7453424
2022-03-03,72.82,74.27,72.63,72.81,2113224
2022-03-04,73.58,73.61,71.95,72.14,4323144
2022-03-05,72.99,73.72,71.51,73.22,4191993
2022-03-06,75.3,77.52,74.45,74.98,1196000
2022-03-07,75.93,77.32,74.72,75.04,6537063
2022-03-08,76.54,78.24,75.07,76.75,9367960
2022-03-09,75.78,76.17,75.59,75.66,9413436
2022-03-10,77.77,79.79,76.78,79.59,8714088
2022-03-11,77.04,77.92,75.37,77.66,7093902
2022-03-12,74.84,75.44,72.63,73.62,8166359
2022-03-13,73.16,75.0,72.04,72.28,9483869
2022-03-14,73.35,73.74,72.65,73.18,8782575
2022-03-15,72.84,74.62,72.05,74.06,7218930
2022-03-16,72.17,73.31,71.0,72.95,4888337
2022-03-17,69.97,70.88,68.73,69.5,4372949
2022-03-18,71.77,72.14,71.33,71.98,1099949
2022-03-19,70.37,71.07,69.97,70.31,9631766
2022-03-20,69.4,70.05,68.01,69.94,5515563
2022-03-21,69.11,70.12,67.66,68.75,1813752
2022-03-22,68.96,69.63,68.77,69.09,4277077
2022-03-23,70.47,71.69,70.35,71.0,9761472
2022-03-24,69.27,69.56,68.82,69.39,7600257
2022-03-25,70.5,70.82,69.01,69.64,7812802
2022-03-26,69.52,70.03,68.5,68.57,6790429
2022-03-27,70.11,71.05,68.31,69.07,8804103
2022-03-28,68.86,69.58,68.18,69.06,4092556
2022-03-29,69.18,69.86,68.78,69.36,9987710
2022-03-30,71.01,72.92,70.03,71.35,7634574
2022-03-31,70.66,72.29,69.1,71.86,8812612
2022-04-01,70.42,70.78,69.77,70.3,3495434
2022-04-02,68.61,69.47,68.46,69.15,8832669
2022-04-03,66.95,67.35,65.49,66.76,6529682
2022-04-04,64.84,66.11,64.46,65.35,7039321
2022-04-05,63.49,65.15,61.7,61.96,1871929
2022-04-06,63.25,63.67,62.42,63.4,4206277
2022-04-07,63.03,64.11,61.89,62.87,3197171
2022-04-08,64.8,65.34,63.03,63.82,1724585
2022-04-09,63.7,65.08,63.56,63.85,3066292
2022-04-10,63.98,64.68,63.7,64.0,5945097
2022-04-11,64.56,65.45,63.13,63.15,6856175
2022-04-12,63.72,65.23,63.07,63.62,6465797
2022-04-13,63.89,64.78,63.63,63.7,8217074
2022-04-14,63.36,64.82,61.68,63.1,8016558
2022-04-15,63.88,65.79,63.58,63.9,9075818
2022-04-16,66.24,67.64,66.23,66.4,7765840
2022-04-17,67.83,69.75,66.8,68.31,6902571
2022-04-18,69.31,69.66,67.43,69.29,5803614
2022-04-19,70.57,70.74,68.73,68.86,4471201
2022-04-20,68.28,69.41,68.12,68.14,6268326
2022-04-21,69.69,69.7,68.54,68.98,9988952
2022-04-22,68.58,69.42,67.45,69.0,5366332
2022-04-23,68.42,68.66,66.37,67.46,8112914
2022-04-24,69.07,70.48,68.14,70.38,6183744
2022-04-25,72.1,73.38,70.19,71.99,9377952
2022-04-26,71.82,72.23,70.57,71.59,9933657
2022-04-27,70.47,72.48,68.68,69.77,3984885
2022-04-28,72.02,74.1,70.47,70.62,1790157
2022-04-29,71.04,72.42,70.42,72.24,2671026
2022-04-30,70.95,73.0,69.72,71.17,7904653
2022-05-01,71.54,72.92,70.87,71.81,6086426
2022-05-02,70.46,71.79,68.81,70.87,1168013
2022-05-03,72.41,73.73,71.66,71.73,4586911
2022-05-04,71.09,71.4,71.01,71.32,7865979
2022-05-05,69.86,71.57,69.84,70.35,3527454
2022-05-06,69.2,69.44,68.39,68.44,3907056
2022-05-07,66.89,66.97,64.93,66.62,8517280
2022-05-08,64.49,65.03,63.28,63.62,4323847
2022-05-09,62.62,63.94,60.97,61.86,2060399
2022-05-10,63.08,64.2,61.37,62.24,8835646
2022-05-11,63.61,64.4,62.44,62.63,3363091
2022-05-12,63.66,65.07,62.58,63.08,4977746
2022-05-13,64.23,65.57,63.41,64.88,5270298
2022-05-14,65.49,66.94,64.74,64.86,8396800
2022-05-15,64.82,65.56,63.3,64.27,2503473
2022-05-16,65.14,65.71,64.96,65.2,1202334
2022-05-17,66.45,67.55,65.29,66.79,6687171
2022-05-18,66.19,66.87,65.58,65.91,2957683
2022-05-19,65.57,66.88,64.39,64.98,9255616
2022-05-20,64.65,64.99,64.3,64.88,1336395
2022-05-21,64.79,65.28,63.75,63.77,9152681
2022-05-22,64.93,65.32,63.39,63.87,1929557
2022-05-23,65.25,65.48,64.15,64.95,4642016
2022-05-24,64.88,65.25,64.01,64.19,6081564
2022-05-25,66.47,67.94,65.54,65.64,8836677
2022-05-26,65.55,67.27,63.73,66.65,3037511
2022-05-27,66.11,67.45,65.5,65.69,3621615
2022-05-28,66.35,67.3,64.37,67.27,4866830
2022-05-29,67.22,68.91,66.87,68.18,2554842
2022-05-30,69.93,71.4,69.89,70.3,1899598
2022-05-31,71.35,71.84,71.15,71.72,3523297
2022-06-01,72.01,72.4,71.64,72.26,6988537
2022-06-02,70.85,72.3,69.99,70.38,7553493
2022-06-03,71.78,73.59,71.17,72.28,3737441
2022-06-04,73.1,74.57,71.14,74.39,1904122
2022-06-05,72.97,72.98,72.48,72.76,5142550
2022-06-06,73.16,74.79,71.59,72.93,4938656
2022-06-07,77.0,77.56,76.63,76.64,7451964
2022-06-08,77.76,79.48,76.32,77.59,5030407
2022-06-09,77.81,79.79,75.79,75.91,3950205
2022-06-10,77.51,78.25,75.44,77.59,5776510
2022-06-11,76.33,76.89,74.89,75.99,8006775
2022-06-12,79.83,80.15,77.83,79.09,7360183
2022-06-13,77.87,79.4,77.41,78.63,6520272
2022-06-14,79.51,81.48,79.06,79.7,8986066
2022-06-15,79.95,81.77,79.13,80.05,4825976
2022-06-16,80.48,81.81,80.1,81.8,1982626
2022-06-17,83.04,85.1,82.57,83.65,1440728
2022-06-18,80.61,81.08,80.16,80.47,6341666
2022-06-19,80.72,82.81,78.84,81.85,4824642
2022-06-20,81.03,81.07,79.92,80.84,6242038
2022-06-21,79.78,80.52,79.2,79.79,9519455
2022-06-22,81.29,82.29,79.12,82.16,9886290
2022-06-23,82.86,83.51,81.44,83.42,1260905
2022-06-24,84.76,85.56,84.31,84.89,6454973
2022-06-25,82.5,83.31,80.8,83.14,3380240
2022-06-26,80.74,81.34,80.64,81.03,6538380
2022-06-27,82.87,83.63,81.31,81.78,9726484
2022-06-28,83.69,86.15,81.75,83.04,2256171
2022-06-29,80.84,81.91,78.88,79.91,9429005
2022-06-30,79.35,80.89,77.72,79.48,1396399
2022-07-01,80.48,81.27,80.35,81.25,1538249
2022-07-02,83.27,85.12,81.98,83.24,4138153
2022-07-03,83.98,84.68,83.03,83.7,7274637
2022-07-04,80.61,82.29,79.58,80.26,8700049
2022-07-05,81.68,82.03,80.49,81.5,3538660
2022-07-06,84.1,86.37,82.93,85.89,8399012
2022-07-07,82.11,82.33,80.57,82.16,9552722
2022-07-08,84.83,87.14,83.31,86.21,7935203
2022-07-09,86.25,87.11,84.62,86.56,8460947
2022-07-10,88.44,89.95,88.29,89.65,1377700
2022-07-11,89.08,91.59,86.98,88.63,4496659
2022-07-12,87.38,88.08,85.69,86.43,2165781
2022-07-13,87.44,89.0,85.11,86.15,3677872
2022-07-14,88.0,88.51,87.95,88.19,8296461
2022-07-15,87.11,89.12,86.27,87.82,5127940
2022-07-16,86.59,87.49,86.04,86.88,7879863
2022-07-17,85.24,86.9,82.72,85.79,1894357
2022-07-18,87.84,88.43,86.05,87.74,2285996
2022-07-19,88.04,88.32,85.62,87.97,2753917
2022-07-20,88.04,88.67,86.67,87.08,3904151
2022-07-21,89.02,90.07,86.74,86.97,1344880
2022-07-22,88.08,89.81,85.63,88.5,2990542
2022-07-23,87.2,87.24,85.89,86.71,4849647
2022-07-24,89.53,92.19,87.36,87.73,3189545
2022-07-25,88.13,89.23,87.26,87.55,9603406
2022-07-26,89.64,90.16,88.23,88.91,9599517
2022-07-27,87.84,88.77,86.95,87.11,8584381
2022-07-28,88.93,89.12,87.89,88.34,3604611
2022-07-29,90.38,93.09,87.71,89.38,1793385
2022-07-30,88.89,90.05,88.02,89.58,5522358
2022-07-31,88.53,89.99,86.17,87.55,3233946
2022-08-01,85.82,87.23,84.33,84.95,8910713
2022-08-02,85.36,86.26,84.57,85.98,2386941
2022-08-03,86.2,87.1,86.11,86.72,7303368
2022-08-04,84.02,84.51,83.08,83.23,5240423
2022-08-05,83.99,85.71,82.12,82.16,2426152
2022-08-06,84.49,84.86,82.61,84.72,5748713
2022-08-07,85.73,86.1,83.95,84.77,9835242
2022-08-08,87.98,88.75,87.83,88.19,4736910
2022-08-09,88.71,88.84,87.31,88.07,5208835
2022-08-10,87.58,87.73,86.67,87.0,8859874
2022-08-11,87.93,88.87,87.45,87.72,7247731
2022-08-12,88.71,89.43,86.39,88.09,8369138
2022-08-13,88.34,90.44,87.11,87.79,1015739
2022-08-14,89.44,91.43,87.39,90.92,5128655
2022-08-15,89.8,91.71,88.46,91.66,9098492
2022-08-16,88.47,88.5,87.51,87.94,3995230
2022-08-17,88.95,89.21,86.34,87.89,6593089
2022-08-18,88.85,91.24,87.51,89.02,5104094
2022-08-19,87.53,87.76,86.08,86.24,6307540
2022-08-20,86.23,87.8,85.38,87.24,6513380
2022-08-21,87.19,89.06,86.14,87.35,6057694
2022-08-22,86.12,87.5,85.85,85.92,1756115
2022-08-23,88.57,91.15,87.84,89.43,5287412
2022-08-24,88.91,91.25,87.45,88.73,5846955
2022-08-25,86.75,88.22,84.7,85.63,6890037
2022-08-26,87.32,88.31,86.82,87.49,6050959
2022-08-27,87.09,87.18,85.46,86.48,1986282
2022-08-28,85.96,86.15,85.78,85.95,5348229
2022-08-29,85.72,88.2,85.53,87.85,5305145
2022-08-30,81.5,82.97,80.72,81.58,5382446
2022-08-31,81.63,83.28,79.79,82.39,2350469
2022-09-01,82.06,82.27,81.95,82.25,3432778
2022-09-02,82.17,83.97,81.09,81.53,1675145
2022-09-03,82.75,84.73,80.9,83.64,9974606
2022-09-04,81.75,82.68,79.36,80.95,9902952
2022-09-05,81.68,83.2,81.51,82.59,8756102
2022-09-06,82.34,84.13,81.82,82.78,8112426
2022-09-07,82.37,84.24,81.6,81.83,5517355
2022-09-08,79.63,81.04,77.95,80.23,6504594
2022-09-09,80.19,81.82,79.99,81.53,6001715
